"Year","Continent ID","Continent","Country ID","Country","Trade Value","share"
2020,"as","Asia","asare","United Arab Emirates",18323465,0.0021505881526179002
2020,"as","Asia","asind","India",100334541,0.011776062833801084
2020,"as","Asia","asnpl","Nepal",208839,0.00002451101247523706
2020,"eu","Europe","eubel","Belgium",630501236,0.07400065917404501
2020,"eu","Europe","eublr","Belarus",321086058,0.037685223417382244
2020,"eu","Europe","eucze","Czechia",12589732,0.0014776314678383406
2020,"eu","Europe","eudeu","Germany",653289406,0.07667526075305
2020,"eu","Europe","eudnk","Denmark",270503013,0.03174839338548936
2020,"eu","Europe","euesp","Spain",90434933,0.010614165797385678
2020,"eu","Europe","eufin","Finland",145559332,0.017084005394295
2020,"eu","Europe","eufra","France",520607490,0.06110265171779147
2020,"eu","Europe","eugbr","United Kingdom",242588611,0.028472136289540893
2020,"eu","Europe","euirl","Ireland",1239500300,0.14547765176217126
2020,"eu","Europe","euita","Italy",75802307,0.008896763978609118
2020,"eu","Europe","eultu","Lithuania",37211339,0.00436741985189201
2020,"eu","Europe","eunld","Netherlands",1291142834,0.15153883188239234
2020,"eu","Europe","eupol","Poland",225261801,0.026438523525325098
2020,"eu","Europe","euprt","Portugal",55234217,0.006482728714210234
2020,"eu","Europe","euswe","Sweden",10340087,0.001213595168776122
2020,"eu","Europe","euukr","Ukraine",42433159,0.004980294339719677
2020,"na","North America","nacan","Canada",15177443,0.0017813458918841758
2020,"na","North America","nausa","United States",101951333,0.011965822451889005
2020,"oc","Oceania","ocaus","Australia",71581462,0.008401371908875773
2020,"oc","Oceania","ocnzl","New Zealand",1887193967,0.2214961519080685
2020,"sa","South America","saarg","Argentina",84170869,0.009878965232119214
2020,"sa","South America","saury","Uruguay",44127280,0.005179129906666278
2019,"as","Asia","asare","United Arab Emirates",74843366,0.00771162857457344
2019,"as","Asia","asind","India",189699978,0.019546098059522777
2019,"as","Asia","asnpl","Nepal",301655.00000000006,0.00003108159669973891
2019,"eu","Europe","eubel","Belgium",726203581,0.07482576727237465
2019,"eu","Europe","eublr","Belarus",377444967.00000006,0.03889076010886696
2019,"eu","Europe","eucze","Czechia",12954504,0.0013347919602630636
2019,"eu","Europe","eudeu","Germany",769976807,0.07933602487386816
2019,"eu","Europe","eudnk","Denmark",293788103,0.03027101600380353
2019,"eu","Europe","euesp","Spain",99621580,0.010264698984438433
2019,"eu","Europe","eufin","Finland",160199551,0.016506465451132102
2019,"eu","Europe","eufra","France",559208177,0.05761907818106848
2019,"eu","Europe","eugbr","United Kingdom",323434813,0.03332572115934253
2019,"eu","Europe","euirl","Ireland",1189149798,0.12252631130600185
2019,"eu","Europe","euita","Italy",70639175,0.007278441758141848
2019,"eu","Europe","eultu","Lithuania",20511293,0.0021134200885653404
2019,"eu","Europe","eunld","Netherlands",1409844428,0.14526600228893963
2019,"eu","Europe","eupol","Poland",260482503,0.02683931015757912
2019,"eu","Europe","euprt","Portugal",58866798,0.006065452501834867
2019,"eu","Europe","euswe","Sweden",11359856,0.0011704843704202126
2019,"eu","Europe","euukr","Ukraine",77770820,0.008013264365742283
2019,"na","North America","nacan","Canada",9121584,0.0009398597575070568
2019,"na","North America","nausa","United States",115939878,0.011946085857727972
2019,"oc","Oceania","ocaus","Australia",89642417,0.009236476943474561
2019,"oc","Oceania","ocnzl","New Zealand",2309675496,0.23798180793933937
2019,"sa","South America","saarg","Argentina",77258077,0.007960432915454325
2019,"sa","South America","saury","Uruguay",64863605,0.0066833449175421195
2018,"as","Asia","asare","United Arab Emirates",105910650,0.009650268519898229
2018,"as","Asia","asind","India",144097440,0.013129737085268798
2018,"as","Asia","asnpl","Nepal",1123586,0.00010237786856372208
2018,"eu","Europe","eubel","Belgium",894067187,0.08146478592455116
2018,"eu","Europe","eublr","Belarus",353536332,0.032213196079335635
2018,"eu","Europe","eucze","Czechia",14626928,0.0013327628790987306
2018,"eu","Europe","eudeu","Germany",838128106,0.07636778054873354
2018,"eu","Europe","eudnk","Denmark",362101698,0.032993647165899705
2018,"eu","Europe","euesp","Spain",118351075,0.010783803643624265
2018,"eu","Europe","eufin","Finland",161092703,0.014678295719516546
2018,"eu","Europe","eufra","France",602983086,0.05494205439072356
2018,"eu","Europe","eugbr","United Kingdom",364542021,0.03321600225696263
